Date,Open,High,Low,Close,Adj Close,Volume
2019-06-03,189.520004,191.869995,188.750000,189.570007,178.651642,4620200
2019-06-04,191.580002,195.500000,191.419998,195.250000,184.004501,5118100
2019-06-05,194.009995,196.720001,193.080002,196.690002,186.661743,3704600
2019-06-06,196.649994,197.649994,194.960007,197.169998,187.117294,3732900
2019-06-07,197.199997,199.020004,196.210007,197.300003,187.240677,3522300
2019-06-10,198.559998,199.850006,197.320007,198.050003,187.952408,3154500
2019-06-11,199.020004,200.839996,195.839996,198.009995,187.914474,3708500
2019-06-12,198.809998,200.190002,197.979996,198.940002,188.797043,2551500
2019-06-13,199.949997,202.679993,199.449997,202.350006,192.033188,3630900
2019-06-14,201.309998,206.500000,201.309998,205.770004,195.278809,4898000
2019-06-17,207.000000,208.789993,206.000000,206.979996,196.427124,4620500
2019-06-18,208.100006,210.169998,207.110001,207.479996,196.901611,3891300
2019-06-19,207.899994,208.479996,205.899994,207.940002,197.338181,3648200
2019-06-20,209.570007,211.660004,209.309998,211.250000,200.479401,5171500
2019-06-21,211.259995,211.990005,209.080002,209.389999,198.714249,9855000
2019-06-24,208.149994,209.259995,205.119995,205.500000,195.022583,4943500
2019-06-25,206.300003,207.100006,204.199997,204.740005,194.301300,3587900
2019-06-26,205.339996,207.320007,204.649994,206.419998,195.895660,3071200
2019-06-27,207.610001,208.000000,206.009995,207.020004,196.465088,2286800
2019-06-28,207.770004,209.000000,207.389999,207.970001,197.366653,11069000
2019-07-01,209.699997,212.309998,208.169998,210.279999,199.558853,4097700
2019-07-02,210.240005,210.259995,208.460007,210.139999,199.426010,3160500
2019-07-03,209.820007,212.750000,209.699997,212.100006,201.286087,2183700
2019-07-05,209.970001,212.169998,209.729996,211.460007,200.678696,2547800
2019-07-08,210.979996,213.440002,210.589996,212.910004,202.054779,2705300
2019-07-09,211.929993,213.330002,211.199997,212.000000,201.191208,2397400
2019-07-10,210.720001,211.320007,208.830002,210.750000,200.004898,3457400
2019-07-11,212.250000,214.080002,211.020004,214.039993,203.127136,3450100
2019-07-12,215.000000,218.250000,214.610001,218.229996,207.103531,4429800
2019-07-15,218.949997,219.300003,216.809998,218.699997,207.549576,3141300
2019-07-16,217.300003,218.350006,216.729996,217.259995,206.182968,2657400
2019-07-17,216.729996,217.580002,215.610001,215.610001,204.617111,3037300
2019-07-18,215.500000,216.229996,213.009995,214.440002,203.506760,3068000
2019-07-19,214.669998,215.229996,212.929993,213.039993,202.178146,3254800
2019-07-22,213.000000,213.259995,210.380005,211.270004,200.498398,2764900
2019-07-23,212.570007,214.130005,211.729996,213.080002,202.216110,2589900
2019-07-24,213.190002,214.789993,213.070007,214.710007,203.763000,2207100
2019-07-25,214.279999,215.919998,213.630005,215.550003,204.560181,2335300
2019-07-26,215.529999,217.210007,214.100006,216.910004,205.850830,2675500
2019-07-29,216.789993,218.270004,216.350006,218.039993,206.923203,2407200
2019-07-30,217.520004,218.589996,216.860001,217.360001,206.277893,2172600
2019-07-31,216.350006,217.800003,212.169998,213.690002,202.795013,3426400
2019-08-01,214.139999,217.610001,212.020004,212.830002,201.978867,3431500
2019-08-02,211.860001,213.139999,211.080002,212.149994,201.333527,2884900
2019-08-05,209.529999,209.960007,204.080002,204.940002,194.491135,4553200
2019-08-06,205.009995,209.089996,204.500000,208.800003,198.154327,3646800
2019-08-07,206.039993,208.500000,203.130005,207.910004,197.309723,3901100
2019-08-08,209.699997,211.690002,208.720001,211.570007,200.783081,2968000
2019-08-09,211.449997,212.410004,207.949997,210.020004,199.312134,2912100
2019-08-12,208.100006,209.639999,206.149994,207.009995,196.455597,2005000
2019-08-13,206.309998,211.619995,204.779999,208.330002,197.708282,3876700
2019-08-14,204.460007,205.360001,201.509995,201.589996,191.311920,4582100
2019-08-15,203.000000,203.759995,199.050003,201.789993,191.501724,4199700
2019-08-16,203.750000,204.429993,201.669998,203.649994,193.266891,4093600
2019-08-19,206.979996,208.820007,205.300003,207.949997,197.347641,6413600
2019-08-20,213.500000,217.850006,212.169998,217.089996,206.021637,12452600
2019-08-21,218.729996,220.880005,216.759995,220.399994,209.162888,7938600
2019-08-22,220.050003,222.660004,219.880005,221.020004,209.751266,4544600
2019-08-23,219.899994,220.869995,216.009995,217.470001,206.382263,5769300
2019-08-26,218.460007,219.500000,216.179993,218.649994,207.502121,3680200
2019-08-27,219.550003,220.410004,217.910004,218.210007,207.084534,4311700
2019-08-28,217.880005,222.089996,217.110001,221.949997,210.633881,3066700
2019-08-29,223.899994,227.699997,223.759995,227.320007,215.730057,4184200
2019-08-30,228.429993,229.270004,226.690002,227.910004,216.290009,3768300
2019-09-03,226.449997,227.630005,223.380005,224.070007,212.645782,4139400
2019-09-04,223.949997,224.149994,220.669998,224.149994,214.020706,3132900
2019-09-05,226.300003,228.779999,226.250000,228.149994,217.839951,3373100
2019-09-06,228.699997,231.369995,227.880005,231.130005,220.685287,3237900
2019-09-09,231.500000,233.869995,230.080002,232.869995,222.346664,4449100
2019-09-10,232.250000,233.020004,229.710007,233.000000,222.470779,4210600
2019-09-11,232.929993,233.679993,231.020004,232.660004,222.146164,2978300
2019-09-12,233.419998,235.490005,233.110001,233.800003,223.234634,3366100
2019-09-13,234.330002,234.970001,232.330002,233.979996,223.406494,3805500
2019-09-16,232.729996,233.610001,230.610001,230.990005,220.551636,3120200
2019-09-17,226.789993,230.330002,226.470001,230.210007,219.806885,3732500
